"Дата","Цена","Откр.","Макс.","Мин.","Изм. %"
"01.01.2020","128,29","128,27","128,34","128,24","-0,10%"
"02.01.2020","128,62","128,30","128,92","128,16","0,26%"
"03.01.2020","129,39","128,66","129,44","128,62","0,60%"
"06.01.2020","129,25","129,50","129,66","129,16","-0,11%"
"07.01.2020","129,16","129,23","129,39","129,14","-0,07%"
"08.01.2020","128,77","129,25","130,19","128,73","-0,30%"
"09.01.2020","128,89","128,77","128,94","128,55","0,09%"
"10.01.2020","129,08","128,86","129,17","128,77","0,15%"
"13.01.2020","128,92","129,11","129,11","128,81","-0,12%"
"14.01.2020","129,14","128,92","129,23","128,78","0,17%"
"15.01.2020","129,34","129,17","129,44","129,12","0,15%"
"16.01.2020","129,16","129,36","129,44","129,08","-0,14%"
"17.01.2020","129,05","129,11","129,22","128,91","-0,09%"
"19.01.2020","129,15","129,14","129,16","129,12","0,08%"
"20.01.2020","129,16","129,15","129,18","129,10","0,01%"
"21.01.2020","129,58","129,12","129,61","129,11","0,33%"
"22.01.2020","129,55","129,53","129,62","129,38","-0,02%"
"23.01.2020","129,78","129,55","130,03","129,55","0,18%"
"24.01.2020","130,28","129,81","130,38","129,59","0,39%"
"27.01.2020","130,89","130,58","130,97","130,53","0,47%"
"28.01.2020","130,61","130,81","131,19","130,45","-0,21%"
"29.01.2020","131,02","130,52","131,16","130,42","0,31%"
"30.01.2020","131,31","131,06","131,53","131,00","0,22%"
"31.01.2020","131,66","131,02","131,83","130,94","0,27%"
"03.02.2020","131,58","131,86","131,91","131,12","-0,06%"
"04.02.2020","130,89","131,55","131,64","130,75","-0,52%"
"05.02.2020","130,55","130,92","131,14","130,36","-0,26%"
"06.02.2020","130,56","130,55","130,66","130,22","0,01%"
"07.02.2020","131,08","130,55","131,14","130,52","0,40%"
"10.02.2020","131,36","131,09","131,39","130,89","0,21%"
"11.02.2020","131,00","131,12","131,19","130,88","-0,27%"
"12.02.2020","130,69","130,89","130,94","130,61","-0,24%"
"13.02.2020","130,77","130,66","131,17","130,64","0,06%"
"14.02.2020","130,98","130,73","131,12","130,73","0,16%"
"16.02.2020","130,91","130,93","130,95","130,85","-0,05%"
"17.02.2020","131,05","130,91","131,10","130,84","0,11%"
"18.02.2020","131,20","130,94","131,39","130,83","0,11%"
"19.02.2020","131,08","131,17","131,25","130,94","-0,09%"
"20.02.2020","131,44","131,09","131,59","130,94","0,27%"
"21.02.2020","131,86","131,50","132,14","131,44","0,32%"
"24.02.2020","132,66","132,20","132,89","132,09","0,61%"
"25.02.2020","133,12","132,73","133,33","132,34","0,35%"
"26.02.2020","133,33","132,91","133,41","132,70","0,16%"
"27.02.2020","133,44","133,09","133,97","133,02","0,08%"
"28.02.2020","134,84","133,70","134,98","133,55","1,05%"
"02.03.2020","135,27","135,03","135,84","134,58","0,32%"
"03.03.2020","136,00","134,55","136,95","134,48","0,54%"
"04.03.2020","136,25","136,14","136,64","135,67","0,18%"
"05.03.2020","136,77","135,75","136,94","135,67","0,38%"
"06.03.2020","138,05","136,80","138,48","136,70","0,94%"
"09.03.2020","139,30","138,55","140,70","138,50","0,91%"
"10.03.2020","137,55","137,78","138,75","137,00","-1,26%"
"11.03.2020","137,14","137,62","138,38","136,64","-0,30%"
"12.03.2020","136,89","138,47","138,89","136,73","-0,18%"
"13.03.2020","135,80","136,12","137,12","135,78","-0,80%"
"16.03.2020","138,06","136,66","138,38","136,66","1,66%"
"17.03.2020","136,06","140,00","140,00","135,66","-1,45%"
"18.03.2020","134,38","135,88","136,00","134,48","-1,23%"
"19.03.2020","135,31","135,14","136,00","134,56","0,69%"
"20.03.2020","136,50","136,34","136,45","136,00","0,88%"
"23.03.2020","138,20","137,56","138,56","137,20","1,25%"
"24.03.2020","137,45","138,09","138,31","136,92","-0,54%"
"25.03.2020","137,34","137,23","137,69","137,03","-0,08%"
"26.03.2020","137,73","137,25","138,02","137,22","0,28%"
"27.03.2020","138,27","137,39","138,75","137,34","0,39%"
"30.03.2020","138,83","138,92","139,39","138,38","0,41%"
"31.03.2020","138,69","138,47","139,05","138,34","-0,10%"
"01.04.2020","138,98","138,80","139,42","138,78","0,21%"
"02.04.2020","138,89","139,30","139,45","138,78","-0,06%"
"03.04.2020","139,14","139,02","139,34","138,89","0,18%"
"06.04.2020","138,41","138,98","139,03","138,33","-0,52%"
"07.04.2020","137,91","138,44","138,47","137,50","-0,36%"
"08.04.2020","137,84","138,06","138,30","137,70","-0,05%"
"09.04.2020","138,25","137,77","138,39","137,66","0,30%"
"10.04.2020","138,17","138,17","138,17","138,17","-0,06%"
"13.04.2020","138,08","138,08","138,34","137,89","-0,07%"
"14.04.2020","138,22","137,97","138,39","137,84","0,10%"
"15.04.2020","139,16","138,22","139,28","138,19","0,68%"
"16.04.2020","139,23","139,17","139,41","138,95","0,05%"
"17.04.2020","138,89","138,84","139,44","138,53","-0,24%"
"20.04.2020","139,11","139,02","139,23","138,92","0,16%"
"21.04.2020","139,39","139,22","139,69","139,08","0,20%"
"22.04.2020","139,05","139,42","139,53","138,83","-0,24%"
"23.04.2020","139,02","139,03","139,17","138,86","-0,02%"
"24.04.2020","139,11","139,09","139,23","138,89","0,06%"
"27.04.2020","138,66","139,00","139,05","138,58","-0,32%"
"28.04.2020","139,02","138,62","139,11","138,53","0,26%"
"29.04.2020","138,97","139,00","139,28","138,83","-0,04%"
"30.04.2020","139,06","138,94","139,36","138,80","0,06%"
"01.05.2020","138,88","138,97","139,27","138,84","-0,13%"
"04.05.2020","138,97","139,11","139,23","138,80","0,06%"
"05.05.2020","138,86","138,92","138,98","138,62","-0,08%"
"06.05.2020","138,55","138,80","138,81","138,27","-0,22%"
"07.05.2020","139,30","138,62","139,34","138,50","0,54%"
"08.05.2020","138,95","139,19","139,50","138,88","-0,25%"
"11.05.2020","138,62","138,94","139,06","138,61","-0,24%"
"12.05.2020","138,95","138,72","139,09","138,58","0,24%"
"13.05.2020","139,22","139,08","139,31","139,03","0,19%"
"14.05.2020","139,42","139,20","139,52","139,16","0,14%"
"15.05.2020","139,33","139,38","139,66","139,25","-0,06%"
"18.05.2020","138,59","139,36","139,39","138,56","-0,53%"
"19.05.2020","138,86","138,67","139,05","138,58","0,19%"
"20.05.2020","139,08","139,05","139,16","138,78","0,16%"
"21.05.2020","139,06","139,02","139,22","138,98","-0,01%"
"22.05.2020","139,16","139,06","139,42","139,05","0,07%"
"24.05.2020","139,13","139,17","139,21","139,12","-0,02%"
"25.05.2020","139,20","139,15","139,24","139,12","0,05%"
"26.05.2020","138,95","139,19","139,25","138,80","-0,18%"
"27.05.2020","139,12","138,98","139,31","138,69","0,12%"
"28.05.2020","138,95","139,06","139,22","138,89","-0,12%"
"29.05.2020","139,38","139,06","139,41","139,05","0,31%"
"01.06.2020","139,33","139,45","139,53","139,11","-0,04%"
"02.06.2020","139,19","139,33","139,42","139,12","-0,10%"
"03.06.2020","138,56","139,17","139,20","138,47","-0,45%"
"04.06.2020","138,20","138,67","138,73","138,09","-0,26%"
"05.06.2020","137,55","138,17","138,36","137,12","-0,47%"
"08.06.2020","137,73","137,48","137,89","137,42","0,13%"
"09.06.2020","138,16","137,91","138,31","137,88","0,31%"
"10.06.2020","138,88","138,16","138,98","138,16","0,52%"
"11.06.2020","139,42","139,09","139,42","139,03","0,39%"
"12.06.2020","139,11","139,27","139,28","139,08","-0,22%"
"15.06.2020","139,11","139,22","139,47","138,94","0,00%"
"16.06.2020","138,80","138,81","138,98","138,64","-0,22%"
"17.06.2020","138,97","138,80","138,98","138,80","0,12%"
"18.06.2020","139,20","139,05","139,20","139,02","0,17%"
"19.06.2020","139,16","139,14","139,14","138,80","-0,03%"
"22.06.2020","138,70","138,92","138,95","138,64","-0,33%"
"23.06.2020","138,75","138,64","138,91","138,52","0,04%"
"24.06.2020","138,88","138,67","138,91","138,53","0,09%"
"25.06.2020","138,91","138,88","139,06","138,80","0,02%"
"26.06.2020","139,22","138,84","139,27","138,83","0,22%"
"29.06.2020","139,33","139,23","139,42","139,08","0,08%"
"30.06.2020","139,17","139,38","139,44","139,09","-0,11%"
"01.07.2020","138,95","139,16","139,17","138,80","-0,16%"
"02.07.2020","139,09","138,97","139,19","138,73","0,10%"
"03.07.2020","139,18","139,16","139,23","139,12","0,06%"
"06.07.2020","138,98","139,17","139,17","138,77","-0,14%"
"07.07.2020","139,20","139,02","139,33","138,94","0,16%"
"08.07.2020","139,19","139,25","139,28","139,02","-0,01%"
"09.07.2020","139,50","139,08","139,53","139,06","0,22%"
"10.07.2020","139,22","139,38","139,70","139,11","-0,20%"
"13.07.2020","139,22","139,16","139,38","139,02","0,00%"
"14.07.2020","139,42","139,34","139,52","139,23","0,14%"
"15.07.2020","139,34","139,20","139,44","139,11","-0,06%"
"16.07.2020","139,48","139,31","139,56","139,27","0,10%"
"17.07.2020","139,36","139,44","139,56","139,31","-0,09%"
"20.07.2020","139,39","139,36","139,56","139,33","0,02%"
"21.07.2020","139,52","139,47","139,59","139,33","0,09%"
"22.07.2020","139,56","139,55","139,67","139,48","0,03%"
"23.07.2020","139,62","139,53","139,70","139,52","0,04%"
"24.07.2020","139,58","139,62","139,78","139,53","-0,03%"
"27.07.2020","139,47","139,56","139,75","139,41","-0,08%"
"28.07.2020","139,70","139,42","139,73","139,25","0,16%"
"29.07.2020","139,75","139,70","139,88","139,58","0,04%"
"30.07.2020","140,02","139,78","140,06","139,75","0,19%"
"31.07.2020","140,08","139,97","140,19","139,88","0,04%"
"03.08.2020","139,94","140,16","140,17","139,88","-0,10%"
"04.08.2020","140,33","140,03","140,41","139,94","0,28%"
"05.08.2020","140,08","140,39","140,41","140,00","-0,18%"
"06.08.2020","140,16","140,03","140,41","140,00","0,06%"
"07.08.2020","139,95","140,14","140,28","139,91","-0,15%"
"10.08.2020","139,88","139,94","140,14","139,83","-0,05%"
"11.08.2020","139,25","139,88","139,94","139,22","-0,45%"
"12.08.2020","139,19","139,36","139,50","139,00","-0,04%"
"13.08.2020","138,97","139,12","139,44","138,89","-0,16%"
