"Date","Price","Open","High","Low","Vol.","Change %"
"01/02/2020","14,002.5","13,913.0","14,003.4","13,913.0","","0.64%"
"01/03/2020","13,917.0","13,877.5","13,950.7","13,870.7","","-0.61%"
"01/06/2020","13,941.8","13,856.7","13,943.3","13,852.7","","0.18%"
"01/07/2020","13,898.5","13,911.2","13,923.5","13,880.5","","-0.31%"
"01/08/2020","13,934.4","13,897.0","13,986.7","13,896.6","","0.26%"
"01/09/2020","13,997.6","13,974.1","14,004.4","13,960.2","","0.45%"
"01/10/2020","13,958.0","14,018.1","14,021.6","13,941.5","","-0.28%"
"01/13/2020","14,042.6","13,980.5","14,042.6","13,963.9","","0.61%"
"01/14/2020","14,037.1","14,024.2","14,068.6","14,005.6","","-0.04%"
"01/15/2020","14,053.2","14,022.3","14,089.9","14,021.2","","0.11%"
"01/16/2020","14,141.8","14,103.5","14,142.3","14,094.9","","0.63%"
"01/17/2020","14,183.2","14,168.1","14,183.3","14,156.4","","0.29%"
"01/21/2020","14,110.0","14,126.1","14,153.0","14,102.4","","-0.52%"
"01/22/2020","14,110.2","14,147.9","14,168.2","14,104.1","","0.00%"
"01/23/2020","14,102.0","14,064.3","14,109.6","14,003.3","","-0.06%"
"01/24/2020","13,978.5","14,120.0","14,120.0","13,920.6","","-0.88%"
"01/27/2020","13,769.6","13,746.6","13,826.4","13,742.0","","-1.49%"
"01/28/2020","13,877.6","13,812.6","13,913.6","13,798.3","","0.78%"
"01/29/2020","13,843.8","13,912.8","13,922.4","13,843.8","","-0.24%"
"01/30/2020","13,861.9","13,745.2","13,869.6","13,699.8","","0.13%"
"01/31/2020","13,614.1","13,783.8","13,788.2","13,573.0","","-1.79%"
"02/03/2020","13,677.9","13,655.9","13,765.3","13,655.9","","0.47%"
"02/04/2020","13,862.8","13,826.1","13,920.6","13,826.1","","1.35%"
"02/05/2020","14,024.9","13,964.0","14,029.9","13,947.6","","1.17%"
"02/06/2020","14,035.0","14,066.9","14,069.3","14,023.5","","0.07%"
"02/07/2020","13,931.9","13,987.5","13,987.5","13,912.0","","-0.73%"
"02/10/2020","13,984.5","13,904.0","13,984.5","13,899.5","","0.38%"
"02/11/2020","14,054.1","13,984.5","14,100.3","13,984.5","","0.50%"
"02/12/2020","14,137.0","14,117.8","14,148.2","14,108.5","","0.59%"
"02/13/2020","14,099.0","14,069.2","14,132.9","14,049.1","","-0.27%"
"02/14/2020","14,097.3","14,104.8","14,110.2","14,046.6","","-0.01%"
"02/18/2020","14,039.0","14,047.9","14,072.7","13,990.7","","-0.41%"
"02/19/2020","14,087.1","14,077.5","14,116.0","14,066.2","","0.34%"
"02/20/2020","14,061.5","14,061.0","14,104.9","13,955.8","","-0.18%"
"02/21/2020","13,975.8","14,014.6","14,014.6","13,931.1","","-0.61%"
"02/24/2020","13,534.1","13,654.0","13,654.0","13,493.7","","-3.16%"
"02/25/2020","13,143.7","13,570.2","13,582.7","13,110.1","","-2.88%"
"02/26/2020","13,046.6","13,194.3","13,323.3","13,041.9","","-0.74%"
"02/27/2020","12,547.2","12,841.4","12,977.2","12,545.0","","-3.83%"
"02/28/2020","12,381.0","12,547.2","12,547.2","12,024.5","","-1.32%"
"03/02/2020","12,828.0","12,441.4","12,830.1","12,316.2","","3.61%"
"03/03/2020","12,542.7","12,845.1","13,015.7","12,432.5","","-2.22%"
"03/04/2020","13,010.0","12,696.6","13,011.5","12,673.9","","3.73%"
"03/05/2020","12,593.0","12,740.9","12,786.6","12,489.8","","-3.21%"
"03/06/2020","12,352.0","12,593.0","12,593.0","12,106.7","","-1.91%"
"03/09/2020","11,298.4","11,748.6","11,748.6","11,240.8","","-8.53%"
"03/10/2020","11,793.3","11,635.2","11,794.0","11,246.5","","4.38%"
"03/11/2020","11,177.3","11,523.9","11,523.9","11,053.8","","-5.22%"
"03/12/2020","10,060.8","10,466.7","10,646.9","10,054.5","","-9.99%"
"03/13/2020","10,852.0","10,445.4","10,852.0","10,060.4","","7.86%"
"03/16/2020","9,567.5","10,852.0","10,852.0","9,559.2","","-11.84%"
"03/17/2020","10,063.4","9,726.2","10,154.2","9,484.6","","5.18%"
"03/18/2020","9,384.6","9,562.5","9,666.6","8,953.6","","-6.75%"
"03/19/2020","9,461.3","9,313.8","9,622.2","9,048.4","","0.82%"
"03/20/2020","9,133.2","9,577.9","9,676.9","9,108.1","","-3.47%"
"03/23/2020","8,777.4","9,014.6","9,053.5","8,664.9","","-3.90%"
"03/24/2020","9,658.3","9,276.6","9,672.0","9,276.6","","10.04%"
"03/25/2020","9,961.4","9,749.8","10,303.9","9,591.7","","3.14%"
"03/26/2020","10,536.3","10,060.5","10,556.9","10,060.5","","5.77%"
"03/27/2020","10,187.2","10,135.7","10,449.2","10,064.5","","-3.31%"
"03/30/2020","10,434.7","10,238.1","10,455.8","10,131.6","","2.43%"
"03/31/2020","10,301.9","10,387.7","10,499.8","10,237.2","","-1.27%"
"04/01/2020","9,844.9","9,917.3","10,029.0","9,766.8","","-4.44%"
