"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"02.01.2020","324,87","323,54","324,89","322,53","59,25M","0,94%"
"03.01.2020","322,41","321,16","323,64","321,10","77,78M","-0,76%"
"06.01.2020","323,64","320,49","323,73","320,36","55,76M","0,38%"
"07.01.2020","322,73","323,02","323,54","322,24","42,85M","-0,28%"
"08.01.2020","324,45","322,94","325,78","322,67","68,43M","0,53%"
"09.01.2020","326,65","326,16","326,73","325,52","48,57M","0,68%"
"10.01.2020","325,71","327,29","327,46","325,20","53,06M","-0,29%"
"13.01.2020","327,95","326,39","327,96","325,92","47,26M","0,69%"
"14.01.2020","327,45","327,47","328,62","326,84","63,04M","-0,15%"
"15.01.2020","328,19","327,35","329,02","327,26","72,06M","0,23%"
"16.01.2020","330,92","329,70","330,92","329,45","54,05M","0,83%"
"17.01.2020","331,95","331,70","332,18","330,85","95,85M","0,31%"
"21.01.2020","331,30","330,90","332,18","330,82","77,74M","-0,20%"
"22.01.2020","331,34","332,24","332,95","331,17","48,91M","0,01%"
"23.01.2020","331,72","330,63","332,17","329,41","51,96M","0,11%"
"24.01.2020","328,77","332,44","332,53","327,36","87,58M","-0,89%"
"27.01.2020","323,50","323,03","325,12","322,66","84,06M","-1,60%"
"28.01.2020","326,89","325,06","327,85","323,60","63,83M","1,05%"
"29.01.2020","326,62","328,38","328,63","326,40","54,04M","-0,08%"
"30.01.2020","327,68","324,36","327,91","323,54","75,49M","0,32%"
"31.01.2020","321,73","327,00","327,17","320,73","113,85M","-1,82%"
"03.02.2020","324,12","323,35","326,16","323,22","69,24M","0,74%"
"04.02.2020","329,06","328,07","330,01","327,72","62,57M","1,52%"
"05.02.2020","332,86","332,27","333,09","330,67","65,95M","1,15%"
"06.02.2020","333,98","333,91","334,19","332,80","50,36M","0,34%"
"07.02.2020","332,20","332,82","333,99","331,60","64,14M","-0,53%"
"10.02.2020","334,68","331,23","334,75","331,19","42,07M","0,75%"
"11.02.2020","335,26","336,16","337,02","334,68","54,86M","0,17%"
"12.02.2020","337,42","336,83","337,65","336,43","43,99M","0,64%"
"13.02.2020","337,06","335,86","338,12","335,56","54,50M","-0,11%"
"14.02.2020","337,60","337,51","337,73","336,20","64,58M","0,16%"
"18.02.2020","336,73","336,51","337,67","335,21","57,34M","-0,26%"
"19.02.2020","338,34","337,79","339,08","337,48","48,81M","0,48%"
"20.02.2020","336,95","337,74","338,64","333,68","74,16M","-0,41%"
"21.02.2020","333,48","335,47","335,81","332,58","113,79M","-1,03%"
"24.02.2020","322,42","323,14","333,56","321,24","161,09M","-3,32%"
"25.02.2020","312,65","323,94","324,61","311,69","218,91M","-3,03%"
"26.02.2020","311,50","314,18","318,11","310,70","194,77M","-0,37%"
"27.02.2020","297,51","305,46","311,56","297,51","284,35M","-4,49%"
"28.02.2020","296,26","288,70","297,89","285,54","385,76M","-0,42%"
"02.03.2020","309,09","298,21","309,16","294,46","238,70M","4,33%"
"03.03.2020","300,24","309,50","313,84","297,57","300,14M","-2,86%"
"04.03.2020","312,86","306,12","313,10","303,33","176,61M","4,20%"
"05.03.2020","302,46","304,98","308,47","300,01","186,37M","-3,32%"
"06.03.2020","297,46","293,15","298,78","290,23","228,67M","-1,65%"
"09.03.2020","274,23","275,30","284,19","273,45","309,42M","-7,81%"
"10.03.2020","288,42","284,64","288,52","273,50","276,44M","5,17%"
"11.03.2020","274,36","280,70","281,94","270,88","256,42M","-4,87%"
"12.03.2020","248,11","256,00","266,66","247,68","392,22M","-9,57%"
"13.03.2020","269,32","263,09","271,48","248,52","329,57M","8,55%"
"16.03.2020","239,85","241,18","256,90","237,36","297,24M","-10,94%"
"17.03.2020","252,80","245,04","256,17","237,07","262,07M","5,40%"
"18.03.2020","240,00","236,25","248,37","228,02","327,60M","-5,06%"
"19.03.2020","240,51","239,25","247,38","232,22","289,32M","0,21%"
"20.03.2020","228,80","242,53","244,47","228,50","347,16M","-4,87%"
"23.03.2020","222,95","228,19","229,68","218,26","326,03M","-2,56%"
"24.03.2020","243,15","234,42","244,10","233,80","235,49M","9,06%"
"25.03.2020","246,79","244,87","256,35","239,75","299,43M","1,50%"
"26.03.2020","261,20","249,52","262,80","249,05","257,63M","5,84%"
"27.03.2020","253,42","253,27","260,81","251,05","224,34M","-2,98%"
"30.03.2020","261,65","255,70","262,43","253,53","170,96M","3,25%"
"31.03.2020","257,75","260,56","263,33","256,22","194,88M","-1,49%"
"01.04.2020","246,15","247,98","257,66","243,90","189,55M","-4,50%"
"02.04.2020","251,83","245,19","252,68","244,59","177,66M","2,31%"
"03.04.2020","248,19","250,76","253,32","245,22","135,56M","-1,45%"
"06.04.2020","264,86","257,84","267,00","248,17","188,06M","6,72%"
"07.04.2020","265,13","274,21","275,03","264,89","201,43M","0,10%"
"08.04.2020","274,03","267,96","276,00","265,25","153,77M","3,36%"
"09.04.2020","278,20","277,58","281,20","275,47","190,28M","1,52%"
"13.04.2020","275,66","277,14","277,51","271,41","114,84M","-0,91%"
"14.04.2020","283,79","280,98","284,90","275,51","134,14M","2,95%"
"15.04.2020","277,76","277,57","283,94","275,46","121,78M","-2,12%"
"16.04.2020","279,10","279,15","280,03","275,76","131,80M","0,48%"
"17.04.2020","286,64","285,38","287,30","282,40","146,68M","2,70%"
"20.04.2020","281,59","282,61","286,79","281,35","100,11M","-1,76%"
"21.04.2020","273,04","276,73","278,04","272,02","126,39M","-3,04%"
"22.04.2020","279,10","278,35","281,00","276,91","93,52M","2,22%"
"23.04.2020","279,08","280,49","283,94","278,75","104,71M","-0,01%"
"24.04.2020","282,97","280,73","283,70","278,50","85,17M","1,39%"
"27.04.2020","287,05","285,12","288,27","284,62","77,90M","1,44%"
"28.04.2020","285,73","291,02","291,40","285,40","105,27M","-0,46%"
"29.04.2020","293,21","291,53","294,88","290,41","118,75M","2,62%"
"30.04.2020","290,48","291,71","293,32","288,59","122,90M","-0,93%"
"01.05.2020","282,79","285,31","290,66","281,52","125,18M","-2,65%"
"04.05.2020","283,57","280,74","283,90","279,13","80,87M","0,28%"
"05.05.2020","286,19","286,64","289,25","283,71","79,57M","0,92%"
"06.05.2020","284,25","288,04","288,46","283,78","73,63M","-0,68%"
"07.05.2020","287,68","287,75","289,78","287,13","75,25M","1,21%"
"08.05.2020","292,44","291,09","292,95","289,86","76,62M","1,65%"
"11.05.2020","292,50","290,34","294,00","289,88","79,51M","0,02%"
"12.05.2020","286,67","293,79","294,24","286,52","95,87M","-1,99%"
"13.05.2020","281,60","286,06","287,19","278,96","144,72M","-1,77%"
"14.05.2020","284,97","278,95","285,11","272,99","121,98M","1,20%"
"15.05.2020","286,28","282,37","286,33","281,34","111,15M","0,46%"
"18.05.2020","295,00","293,05","296,75","292,70","120,32M","3,05%"
"19.05.2020","291,97","294,35","296,20","291,95","95,19M","-1,03%"
"20.05.2020","296,93","295,82","297,87","295,57","85,86M","1,70%"
"21.05.2020","294,88","296,79","297,67","293,69","78,29M","-0,69%"
"22.05.2020","295,44","294,57","295,63","293,22","63,96M","0,19%"
"26.05.2020","299,08","301,93","302,19","295,46","88,95M","1,23%"
"27.05.2020","303,53","302,12","303,57","296,87","104,82M","1,49%"
"28.05.2020","302,97","304,65","306,84","302,24","90,77M","-0,18%"
"29.05.2020","304,32","302,46","304,96","299,47","119,27M","0,45%"
"01.06.2020","305,55","303,62","306,20","303,06","56,78M","0,40%"
"02.06.2020","308,08","306,55","308,13","305,10","74,27M","0,83%"
"03.06.2020","312,18","310,24","313,22","309,94","92,57M","1,33%"
"04.06.2020","311,36","311,11","313,00","309,08","75,79M","-0,26%"
"05.06.2020","319,34","317,23","321,27","317,16","150,52M","2,56%"
"08.06.2020","323,20","320,22","323,41","319,63","73,64M","1,21%"
"09.06.2020","320,79","320,30","323,28","319,36","77,48M","-0,75%"
"10.06.2020","319,00","321,42","322,39","318,22","95,00M","-0,56%"
"11.06.2020","300,61","311,46","312,15","300,01","209,24M","-5,76%"
"12.06.2020","304,21","308,24","309,08","298,60","194,68M","1,20%"
"15.06.2020","307,05","298,02","308,28","296,74","135,78M","0,93%"
"16.06.2020","312,96","315,48","315,64","307,67","137,63M","1,92%"
"17.06.2020","311,66","314,07","314,39","310,86","83,40M","-0,42%"
"18.06.2020","311,78","310,00","312,30","309,51","80,83M","0,04%"
"19.06.2020","308,64","314,17","314,38","306,53","135,55M","-1,01%"
"22.06.2020","310,62","307,99","311,05","306,75","74,65M","0,64%"
"23.06.2020","312,05","313,49","314,50","311,61","68,47M","0,46%"
"24.06.2020","304,09","309,84","310,51","302,10","132,81M","-2,55%"
"25.06.2020","307,35","303,47","307,64","301,28","89,47M","1,07%"
"26.06.2020","300,05","306,16","306,39","299,42","127,96M","-2,38%"
"29.06.2020","304,46","301,41","304,61","298,93","79,77M","1,47%"
"30.06.2020","308,36","303,99","310,20","303,82","113,39M","1,28%"
"01.07.2020","310,52","309,57","311,89","309,07","72,40M","0,70%"
"02.07.2020","312,23","314,24","315,70","311,51","69,34M","0,55%"
