"Date","Price","Open","High","Low","Vol.","Change %"
"01/02/2020","60.58","60.44","60.67","60.23","11.95M","0.90%"
"01/03/2020","60.40","61.13","61.31","60.10","29.52M","-0.30%"
"01/06/2020","60.87","60.61","61.18","60.40","22.46M","0.78%"
"01/07/2020","60.71","60.70","60.77","60.00","11.49M","-0.26%"
"01/08/2020","59.71","60.65","60.72","59.63","19.04M","-1.65%"
"01/09/2020","60.15","59.68","60.20","58.98","15.37M","0.74%"
"01/10/2020","59.81","60.12","60.17","59.74","9.15M","-0.57%"
"01/13/2020","59.83","59.72","60.02","59.41","8.78M","0.03%"
"01/14/2020","59.84","59.70","59.91","59.31","17.34M","0.02%"
"01/15/2020","59.40","59.58","59.76","59.23","10.83M","-0.74%"
"01/16/2020","59.50","59.75","59.95","59.47","8.22M","0.17%"
"01/17/2020","59.12","59.66","59.69","59.02","11.91M","-0.64%"
"01/21/2020","58.06","58.79","58.80","57.96","17.35M","-1.79%"
"01/22/2020","57.50","57.95","57.99","57.34","14.68M","-0.96%"
"01/23/2020","57.28","56.90","57.45","56.46","13.28M","-0.38%"
"01/24/2020","56.62","57.02","57.28","56.18","20.39M","-1.15%"
"01/27/2020","55.05","55.48","55.70","54.98","21.68M","-2.77%"
"01/28/2020","55.30","55.36","55.64","55.08","14.30M","0.45%"
"01/29/2020","54.72","55.61","55.81","54.65","13.75M","-1.05%"
"01/30/2020","55.16","54.15","55.22","54.01","24.43M","0.80%"
"01/31/2020","53.44","54.23","54.38","53.16","33.43M","-3.12%"
"02/03/2020","52.74","53.37","53.45","52.55","21.29M","-1.31%"
"02/04/2020","52.93","53.50","53.92","52.83","19.82M","0.36%"
"02/05/2020","54.92","53.81","55.11","53.78","34.38M","3.76%"
"02/06/2020","54.36","55.18","55.18","54.27","15.40M","-1.02%"
"02/07/2020","53.98","53.95","54.21","53.70","13.69M","-0.70%"
"02/10/2020","53.71","53.70","53.83","53.38","14.64M","-0.50%"
"02/11/2020","54.31","54.44","54.52","54.06","13.84M","1.12%"
"02/12/2020","55.04","55.12","55.35","54.59","17.20M","1.34%"
"02/13/2020","54.87","54.89","55.18","54.55","11.97M","-0.31%"
"02/14/2020","54.58","55.06","55.10","54.24","12.52M","-0.53%"
"02/17/2020","54.58","54.58","54.58","54.58","","0.00%"
"02/18/2020","54.13","54.10","54.57","53.62","16.31M","-0.82%"
"02/19/2020","54.85","54.49","55.07","54.19","12.46M","1.33%"
"02/20/2020","54.79","54.99","55.40","54.65","13.05M","-0.11%"
"02/21/2020","54.14","54.27","54.32","53.69","13.81M","-1.19%"
"02/24/2020","51.64","52.10","52.40","51.48","33.04M","-4.62%"
"02/25/2020","49.36","51.78","51.82","49.04","42.84M","-4.42%"
